10, 0.000659
20, 0.001886
30, 0.00171
40, 0.001787
50, 0.002863
60, 0.003404
70, 0.003618
80, 0.00373
90, 0.004478
100, 0.005061
110, 0.005375
120, 0.006163
130, 0.007253
140, 0.008727
150, 0.009547
160, 0.010208
170, 0.010099
180, 0.010781
190, 0.011883
200, 0.011117
210, 0.013202
220, 0.013654
230, 0.015258
240, 0.016157
250, 0.017556
260, 0.019674
270, 0.020743
280, 0.02338
290, 0.022763
300, 0.024054
310, 0.025314
320, 0.023798
330, 0.026058
340, 0.027973
350, 0.02845
360, 0.034216
370, 0.030943
380, 0.035494
390, 0.034288
400, 0.041167
410, 0.042385
420, 0.043226
430, 0.044209
440, 0.045691
450, 0.047861
460, 0.054839
470, 0.050934
480, 0.05413
490, 0.055743
500, 0.05384
550, 0.064297
600, 0.076314
650, 0.085998
700, 0.098479
750, 0.114012
800, 0.115816
850, 0.13165
900, 0.159492
950, 0.162169
1000, 0.169757
1250, 0.280343
1500, 0.434488
1750, 0.534763
2000, 0.756496
2250, 0.907958
2500, 1.1099
2750, 1.27739
3000, 1.61458
